0	4480
0	1
0	5
0	6
0	1735
0	9
0	2791
0	12
0	207
0	236
0	94072
0	26
0	69
1	64
1	3
1	69
1	7
1	5960
1	33871
1	28067
1	52
1	26938
1	43611
2	801
2	2
2	228
2	5383
2	392
2	620
2	11
2	108
2	46
2	2671
2	560
2	11377
2	4114
2	19
2	18921
2	665
3	4
3	58629
3	449
3	20394
3	14
3	15
3	16
3	3632
4	225
4	16580
4	40167
4	77
4	3182
4	973
4	16
4	305
4	73411
4	119
4	24783
4	84511
5	128
5	14850
5	17349
5	6
5	820
5	46489
5	1209
5	890
5	28
5	23262
5	255
6	128
6	9286
6	19457
6	32936
6	13
6	4623
6	10965
6	2624
6	74745
6	698
6	59
6	5445
7	192
7	66
7	28706
7	53561
7	49672
7	1482
7	8395
7	4834
7	4495
7	51444
7	23
7	6233
7	11055
7	989
8	24961
8	4211
8	100
8	8
8	8151
8	332
8	24658
8	8048
8	17138
8	179
8	33685
8	311
8	8090
8	63867
8	4541
9	1570
9	81059
9	12580
9	53995
9	28653
9	76078
9	113
9	8660
9	53
9	7415
9	89
9	41887
9	89180
9	52980
9	287
10	10
10	33362
10	5503
10	61
10	9610
10	10463
11	70
11	32136
11	41
11	42
11	1131
11	108
11	9072
11	17
11	478
11	137
11	7369
11	1307
11	252
11	21834
11	30
12	12370
12	14991
12	1042
12	1588
12	9592
12	123
12	10814
12	127
13	1433
13	73910
13	299
13	27693
13	9875
13	309
13	118
13	919
13	25
13	67163
13	1918
14	5171
14	35
14	81985
14	553
14	107
14	1718
14	471
14	56
14	121
14	763
14	4604
15	35088
15	389
15	839
15	4797
15	1552
15	82
15	20
15	5839
15	285
15	6078
16	8211
16	33
16	20417
16	3457
16	72
16	74
16	2541
16	848
16	707
16	153
16	4474
16	31
17	32
17	9925
17	17479
17	4553
17	6282
17	55660
17	49
17	57880
17	3515
17	21098
18	3328
18	22146
18	36
18	1765
18	69799
18	146
18	1518
18	18
18	87
19	481
19	45608
19	687
19	63504
19	22
19	10014
19	319
20	56098
20	39
20	15788
20	10956
20	25425
20	82
20	1203
20	21
20	6070
20	986
20	3037
20	63
21	2499
21	168
21	3037
21	10956
21	847
21	6056
21	42322
21	14803
21	60
21	29
21	24062
21	57855
22	8480
22	481
22	5794
22	699
22	27557
22	49863
22	1993
22	2251
22	92819
22	24
22	27
22	79901
23	4834
23	99
23	3524
23	36068
23	40
23	171
23	748
23	5762
23	54095
23	2899
23	149
23	15414
23	8931
23	7684
23	218
23	26268
23	895
24	483
24	13878
24	39142
24	76
24	205
24	17678
24	79
24	48
24	2104
24	6499
24	1560
24	9626
25	784
25	8483
25	202
25	45
25	80
25	84163
25	15956
25	12792
25	1433
25	219
25	65596
26	2723
26	1096
26	1161
26	496
26	792
26	90
27	44736
27	65
27	13646
27	47
27	50
27	762
27	635
27	6831
28	132
28	47281
28	3786
28	334
28	689
28	180
28	631
28	21044
28	284
29	37
29	5446
29	84299
29	7613
29	1143
29	4088
29	82969
29	122
29	91
29	4890
30	75
30	2156
30	333
30	1101
30	3636
30	537
30	2812
30	222
31	73454
31	2823
31	2542
